ResidualScore,Status,Risk,ISOScore,ISOScoreSmooth,AEScore,AEScoreSmooth,FinalRisk,PersistFlag,PredictedStage
0.47443804,1,0.23637505,0.9999999731863455,0.9999999731863455,0.0020627754,0.0014520712266676127,0.5260781,0,0
0.47687072,1,0.23759274,0.9999999731863455,0.9999999731863455,0.0021173095,0.0015001909690909089,0.5260781,0,0
0.4740873,1,0.23619948,0.9999999731863455,0.9999999731863455,0.0021016817,0.0015468804724514484,0.5260781,0,0
0.47404084,1,0.23617624,0.9999999731863455,0.9999999731863455,0.0021174236,0.0015914274984970688,0.5260781,0,0
0.47702557,1,0.23767026,0.9999999731863455,0.9999999731863455,0.0021184362,0.0016359445825219155,0.5260781,0,0
0.48634815,1,0.2423367,0.9999999731863455,0.9999999731863455,0.002220617,0.0016820931993424893,0.5444525,0,0
0.48308906,1,0.24070536,0.9999999731863455,0.9999999731863455,0.0021979182,0.0017267976747825742,0.5260781,0,0
0.48656216,1,0.24244383,0.9999999731863455,0.9999999731863455,0.0022274852,0.001772985872812569,0.5444525,0,0
0.4953645,1,0.24684985,0.9999999731863455,0.9999999731863455,0.0022823776,0.0018176081450656056,0.5444525,0,0
0.49978352,1,0.24906181,0.9999999731863455,0.9999999731863455,0.0024471881,0.0018666699621826411,0.54725784,0,0
0.49599504,1,0.24716549,0.9999999731863455,0.9999999731863455,0.0023310366,0.0019118619058281184,0.5444525,0,0
0.507781,1,0.253065,0.9999999731863455,0.9999999731863455,0.0025759083,0.0019669287838041784,0.5606389,0,0
0.5157149,1,0.2570363,0.9999999731863455,0.9999999731863455,0.0026747265,0.0020245106238871813,0.5883519,0,0
0.5291444,1,0.26375848,0.9999999731863455,0.9999999731863455,0.003024181,0.0020845606876537205,0.58928907,0,0
0.5358631,1,0.26712155,0.9999999731863455,0.9999999731863455,0.00310626,0.002144294758327305,0.5498015,0,0
0.5433773,1,0.2708828,0.9999999731863455,0.9999999731863455,0.0032597112,0.0022099831188097598,0.52333266,0,0
0.5604391,1,0.27942315,0.9999999731863455,0.9999999731863455,0.0034274333,0.0022837370028719307,0.56982535,0,0
0.5443237,1,0.27135652,0.9999999731863455,0.9999999731863455,0.003264587,0.002349043576978147,0.52333266,0,0
0.54015315,1,0.26926896,0.9999999731863455,0.9999999731863455,0.0032021226,0.0024076230823993684,0.5579205,0,0
0.54019624,1,0.2692905,0.9999999731863455,0.9999999731863455,0.0031534065,0.002463186355307698,0.5579205,0,0
0.52739364,1,0.26288214,0.9999999731863455,0.9999999731863455,0.002955894,0.002508993512019515,0.5316399,0,0
0.53762084,1,0.2680014,0.9999999731863455,0.9999999731863455,0.0030795587,0.002556528551504016,0.5498015,0,0
0.53722525,1,0.26780337,0.9999999731863455,0.9999999731863455,0.0031264117,0.0026021800376474858,0.5498015,0,0
0.5470797,1,0.27273604,0.9999999731863455,0.9999999731863455,0.0033660156,0.0026571748964488505,0.53212714,0,0
0.5518099,1,0.27510378,0.9999999731863455,0.9999999731863455,0.0034478146,0.0027155311964452266,0.5682305,0,0
0.56082374,1,0.27961567,0.9999999731863455,0.9999999731863455,0.00354895,0.0027749781776219605,0.56982535,0,0
0.5678734,1,0.2831444,0.9999999731863455,0.9999999731863455,0.003650157,0.002836292078718543,0.5821028,0,0
0.56705385,1,0.2827342,0.9999999731863455,0.9999999731863455,0.0036002875,0.0028962363116443158,0.5762379,0,0
0.55905586,1,0.27873075,0.9999999731863455,0.9999999731863455,0.0035613133,0.002953991899266839,0.56982535,0,0
0.562353,1,0.28038117,0.9999999731863455,0.9999999731863455,0.0035705674,0.003012077147141099,0.5762379,0,0
0.5570048,1,0.2777041,0.9999999731863455,0.9999999731863455,0.0036324398,0.0030685500614345074,0.59638715,0,0
0.5644051,1,0.28140834,0.9999999731863455,0.9999999731863455,0.0036730713,0.0031275561824440955,0.5821028,0,0
0.5633095,1,0.28085992,0.9999999731863455,0.9999999731863455,0.003721743,0.0031873264908790586,0.5821028,0,0
0.5731231,1,0.28577217,0.9999999731863455,0.9999999731863455,0.0037754367,0.003247048854827881,0.5821028,0,0
0.5667448,1,0.28257948,0.9999999731863455,0.9999999731863455,0.0037391451,0.003298727134242654,0.5821028,0,0
0.56388366,1,0.28114733,0.9999999731863455,0.9999999731863455,0.0037357837,0.003354917019605637,0.5821028,0,0
0.5697503,1,0.2840839,0.9999999731863455,0.9999999731863455,0.0038174533,0.0034045788180083036,0.5821028,0,0
0.5713621,1,0.28489068,0.9999999731863455,0.9999999731863455,0.0038397869,0.0034511812310665845,0.5821028,0,0
0.5688598,1,0.28363815,0.9999999731863455,0.9999999731863455,0.0038278978,0.0034833299089223144,0.5821028,0,0
0.5712285,1,0.2848238,0.9999999731863455,0.9999999731863455,0.0038664816,0.0035137387737631796,0.5821028,0,0
0.56399137,1,0.28120124,0.9999999731863455,0.9999999731863455,0.003861868,0.0035378250479698183,0.5821028,0,0
0.5715023,1,0.28496087,0.9999999731863455,0.9999999731863455,0.003935204,0.0035581358708441256,0.5821028,0,0
0.5685249,1,0.2834705,0.9999999731863455,0.9999999731863455,0.003966298,0.0035862043127417565,0.59982467,0,0
0.57311505,1,0.28576812,0.9999999731863455,0.9999999731863455,0.0040413057,0.0036197716370224954,0.59982467,0,0
