ResidualScore,Risk
0.41615272,0.27850282
0.59902906,0.4366707
0.3427177,0.21498963
0.23078279,0.11817825
0.34053585,0.21310256
0.24856119,0.13355461
0.3801603,0.24737336
0.622186,0.4566989
0.37273902,0.24095476
0.52144223,0.36956665
0.4776086,0.33165538
0.26324612,0.14625546
0.6214921,0.45609874
0.6313104,0.4645905
0.43916458,0.29840556
0.6482272,0.47922167
0.49618292,0.34772015
0.73443305,0.5537802
0.3990443,0.26370594
0.6451501,0.47656032
0.540603,0.3861386
0.09414313,0.0
0.2828744,0.16323176
0.8729866,0.6736138
0.51421857,0.36331898
0.44659916,0.30483565
0.34039468,0.21298046
0.35012588,0.22139688
0.39787608,0.26269555
0.46379566,0.31970873
0.2683437,0.1506643
0.7334441,0.5529249
0.45258647,0.310014
0.4101953,0.2733503
0.7708443,0.58527195
0.17650688,0.07123557
0.49360687,0.34549212
1.001298,0.78458893
0.5929612,0.43142268
0.3538917,0.2246539
1.1310377,0.89679956
0.46618986,0.32177943
0.78549343,0.5979418
0.7918991,0.603482
0.8319909,0.638157
0.829545,0.6360416
0.36606765,0.23518476
0.5130751,0.36233002
0.2319216,0.11916319
0.32765076,0.20195837
0.4168547,0.27910998
0.48267326,0.33603576
0.5219966,0.37004614
0.7334856,0.55296075
0.54154295,0.38695157
0.37548575,0.24333037
0.41786498,0.27998373
0.53882444,0.38460034
0.4823963,0.33579624
0.98006994,0.7662291
1.0714033,0.84522235
0.78339875,0.59613013
0.3897029,0.25562665
0.3228229,0.19778281
0.5798357,0.4200706
0.366705,0.235736
0.42101598,0.282709
0.7724487,0.5866596
0.5159084,0.36478052
0.8505747,0.65422994
0.38942033,0.25538227
0.60524386,0.4420458
0.5116207,0.36107212
0.50156945,0.35237888
0.75482523,0.5714172
0.49772176,0.34905106
0.35703126,0.22736928
0.4524983,0.30993775
0.6171357,0.45233095
0.3607214,0.23056085
0.6556548,0.4856457
0.4260416,0.2870556
0.4805801,0.33422542
0.34168673,0.21409795
0.45001847,0.30779296
0.38162315,0.24863856
0.36091956,0.23073223
0.5181629,0.3667304
0.38231975,0.24924104
0.5447926,0.38976213
0.7551069,0.5716609
0.22203736,0.11061441
0.5353386,0.38158548
0.3748358,0.24276823
0.42669898,0.28762418
0.5814023,0.42142552
0.47031122,0.32534397
0.32941142,0.20348115
0.55526793,0.39882216
0.6651333,0.4938436
0.38056874,0.2477266
0.509471,0.35921285
0.37761146,0.24516888
0.26841432,0.15072538
0.9206561,0.7148426
0.45278066,0.31018198
0.49873123,0.34992415
0.3034985,0.18106934
0.67041373,0.49841055
0.63764465,0.47006893
0.5848294,0.42438957
0.41159743,0.274563
0.39172977,0.25737968
0.37017918,0.23874077
0.23407069,0.12102193
0.6189765,0.45392302
0.4031864,0.2672884
0.4277923,0.28856978
0.9729498,0.7600709
1.1283591,0.89448285
0.51916146,0.36759403
0.8142066,0.62277555
0.47947964,0.33327365
0.6963244,0.52082044
0.3927982,0.25830373
0.4025906,0.26677307
0.3330598,0.2066366
0.43780756,0.29723188
0.34491056,0.21688621
0.58547103,0.42494452
0.5965131,0.43449464
0.67380726,0.5013456
0.6139223,0.4495517
0.41727632,0.27947462
0.16043165,0.05733227
0.53687465,0.382914
0.6754589,0.50277406
0.4000411,0.26456806
0.905368,0.7016201
0.17147103,0.066880114
0.48364106,0.33687282
0.70589286,0.5290961
0.7408557,0.5593351
0.443278,0.3019632
0.3560974,0.22656159
0.36734405,0.23628871
0.70178664,0.52554464
0.36949998,0.23815335
0.4380734,0.2974618
0.66144574,0.49065423
1.0682505,0.84249556
0.57044375,0.41194758
0.5809262,0.4210137
0.44833907,0.3063405
0.23245111,0.11962117
0.24042535,0.12651801
0.90530795,0.7015682
0.3379709,0.21088418
0.27150917,0.15340209
0.5659431,0.40805504
0.5670076,0.4089757
0.33901444,0.21178672
0.53544986,0.3816817
0.20594673,0.09669779
0.27062577,0.15263805
0.47528887,0.3296491
0.6508902,0.48152483
0.37891647,0.24629757
0.50151247,0.3523296
0.1823363,0.076277375
0.69857967,0.522771
0.36579022,0.2349448
0.5438999,0.38899004
0.81206226,0.62092096
0.48509565,0.33813086
0.39689356,0.26184577
0.4817666,0.3352516
0.27230835,0.1540933
0.28144434,0.16199492
0.65539235,0.48541874
0.5015858,0.352393
0.3545028,0.22518243
0.5291694,0.3762498
0.5289079,0.37602362
0.65859,0.48818436
0.5298359,0.37682623
0.6504634,0.48115572
0.58632964,0.4256871
1.0541662,0.83031416
0.30171242,0.17952457
0.39569157,0.2608062
0.69511557,0.5197749
0.7526004,0.56949294
0.34636983,0.21814832
